Language,Maincategory,Subcategory1,subcategory2,waitText,SeriesProduct,Brochure,VerifyBrochure,RightProduct,VisitTechSupport,TechSupport,ViewCompare,Getquote,SelectConfiguration,NextText,CheckoutText,Investment,KeysightCare,KeysightCareVerify,Calibration,CalibrationVerify,TechRefresh,TechRefreshVerify,Featured,Resource,waitTextResource,AllResources,ContactUS,TextDifference,ValidCharacters,ATE
English,PRODUCTS + SERVICES,Oscilloscopes,Spectrum Analyzers,PRODUCTS AND SERVICES,X-Series Signal Analyzers,View Brochure,BROCHURE,RIGHT FOR YOU,Visit Technical Support,Request Service,View and Compare,Get Quote,Select a configuration,Next,Quote Checkout,YOUR SIGNAL,KeysightCare,KeysightCare Service,Calibration Services,Calibration Services,Tech Refresh Service,Tech Refresh,FEATURED SIGNAL ANALYSIS,Brochures,BROCHURE,View All resources,Contact Us,0,*,NO
ChinesePRC,产品与服务,示波器和分析仪,频谱,产品与服务,系列信号分,查看手册,手册,查找适合您的型号,访问技术支持,技术支持,查看比较所有型号,索取报价,Select a configuration,下一页,报价,保护您的创新投资,KeysightCare,KeysightCare,校准服务,仪器校准检测服务,技术更新服务,技术更新服务,特色,Brochures,BROCHURE,查看所有资,联系我,1,*,YES
Japanese,サービス,オシロス,スペクトラ,製品とサ,Xシリーズ シ,カタログを表示,Keysight Technologies,しょう,テクニカル・サポートを見る,テクニカルサポート,全モデルの表示と比較,ウェブ見積,Select a configuration,次へ,ウェブ見積のお手続き,イノベーションへの投資を確保,KeysightCare,KeysightCare,校正サービス,校正サービス,テクノロジー リフレッシュ サービス,テクノロジー ,注目のリソース,Brochures,BROCHURE,すべてのリソ,お問い合わせはこちら,1,*,NO
PortugueseBrazilian,Produtos + Serviços,Osciloscópios,Analisadores de espectro,Produtos e Serviços,Analisadores de sinal da Série X,Ver brochura,BROCHURE,ENCONTRE O MODELO CERTO PARA,Visite o Suporte,Suporte técnico,Visualizar e comparar todos,Pedir cotação,Select a configuration,Avançar,Checar cotação,PROTEJA SEU INVESTIMENTO EM INOVAÇÃO,KeysightCare,KeysightCare,Serviços de Calibração,calibração,Serviços de atualização tecnológica,Tech Refresh,RECURSOS EM DESTAQUE,Brochures,BROCHURE,Veja todos os recursos,Entre em contato conosco,1,*,NO
Korean,제품,오실로스,스펨트럼 분,제품 및 서,X-시리즈 신호 ,브로셔,BROCHURE,적합한 모델,기술지원 방문하기 ,기술 지원,모든 모델 보기 및 비교,견적 받기,Select a configuration,다음,견적 요청,혁신적인 테스트 자산,KeysightCare,KeysightCare,교정 서비스,서비스,Tech Refresh,Tech Refresh,주요 리소스,Brochures,BROCHURE,모든 리소스 보기,키사이트에 문의하기,1,*,NO
German,Produkte & Service,Oszilloskope,Spektrumanalysatoren,Produkte und Services,Signalanalysatoren der X-Serie,Broschüre anzeigen,BROCHURE,FINDEN SIE DAS FÜR IHRE ANWENDUNG,Zum technischen Support,Technische Unterstützung,Alle Modell anzeigen und vergleichen,Angebot anfordern,nill,nill,Price Request,SCHÜTZEN SIE IHRE INNOVATIONSINVESTITION,KeysightCare,KeysightCare Service,Calibration Services,Kalibrier-Services,Tech Refresh Service,Tech Refresh,EMPFOHLENE RESSOURCEN,Brochures,BROCHURE,Alle Ressourcen anzeigen,Nehmen Sie,1,,NO
ChineseTaiwan,產品與服務,示波器與分析儀,頻譜分析儀,產品與服務,X 系列信號,查閱型錄,BROCHURE,搜尋符合您需求的機型,瀏覽技術支援網頁 ,技術支援,查看並比較所有機型,索取報價,Select a configuration,下一頁,確認報價,保護您的創新投資,KeysightCare,KeysightCare,校驗服務,校驗服務,校驗服務,Tech Refresh,精選資源,Brochures,BROCHURE,查看所有資源,聯絡我們,1,*,NO
Russian,Продукты и услуги,Осциллографы и анализаторы,Spectrum Analyzers,Продукты и услуги,X-Series Signal Analyzers,Ознакомиться с брошюрой ,Keysight Technologies,ПОДХОДЯЩУЮ ДЛЯ РЕШЕНИЯ ВАШИХ ЗАДАЧ,Перейти на страницу Технической поддержки ,Техническая поддержка,Посмотреть и сравнить все модели,Получить предложение,Select a configuration,Следующие,Запросить коммерческое,ЗАЩИТА ИНВЕСТИЦИЙ В ИННОВАЦИОННЫЕ РАЗРАБОТКИ,KeysightCare,Услуги и поддержка,Услуги поверки и калибровки,Calibration Services,Услуги по обновлению технологий,Tech Refresh,РЕКОМЕНДУЕМЫЕ РЕСУРСЫ,Brochures,BROCHURE,Посмотреть все материалы,Свяжитесь с нами,1,*,NO
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,